Company,Type,OpSys,CPU,GPU,Ram,Weight,Touchscreen,ClockSpeed,HDD,SSD,PPI,Display,Price
Apple,Ultrabook,Mac,Inteli5,IntelIris,8,1.37,0,2.0,0.0,0.256,312.78195488721803,IPSRetina,75604.31999999999
Lenovo,Notebook,Others,Inteli3,IntelHD,4,2.2,0,2.0,0.0,0.128,136.7948717948718,NonIPS,19660.32
Asus,Gaming,Windows,AmdRyzen,AMDRadeon,8,3.2,0,3.0,1.024,0.256,173.41040462427745,NonIPSFullHD,69210.72
Dell,Notebook,Windows,Inteli5,AMDRadeon,4,2.3,0,2.5,0.0,0.256,192.30769230769232,NonIPSFullHD,34045.92
Asus,Notebook,Windows,IntelPentium,NvidiaGeForce,4,2.8,0,1.1,1.024,0.0,123.35260115606935,NonIPS,24828.48
Acer,Notebook,Windows,Inteli7,NvidiaGeForce,8,2.2,0,1.8,0.0,0.256,192.30769230769232,IPSFullHD,44808.48
HP,Notebook,Windows,AmdA,AMDRadeon,4,1.86,0,2.5,0.0,0.256,192.30769230769232,NonIPSFullHD,21231.5472
HP,Notebook,Windows,Inteli7,IntelHD,8,1.49,0,1.8,0.0,0.512,225.56390977443607,NonIPSFullHD,58767.84
Acer,Notebook,Windows,Inteli3,IntelHD,4,2.4,0,2.4,1.024,0.0,136.7948717948718,NonIPS,20459.52
Dell,Notebook,Windows,Inteli7,AMDRadeon,8,2.13,0,1.8,0.0,0.256,192.30769230769232,NonIPSFullHD,40908.384
HP,Notebook,Windows,Inteli3,IntelHD,4,1.91,0,2.0,0.0,0.128,192.30769230769232,NonIPSFullHD,23389.92
Asus,Notebook,Windows,Inteli5,IntelHD,4,2.0,0,2.5,0.0,0.256,136.7948717948718,NonIPS,31232.203200000004
MSI,Gaming,Windows,Inteli7,NvidiaGeForce,16,2.43,0,2.8,2.048,0.256,173.41040462427745,NonIPSFullHD,130482.72
Asus,Notebook,Linux,Inteli3,IntelHD,4,2.0,0,2.0,0.0,0.256,192.30769230769232,NonIPSFullHD,22111.2
Dell,Notebook,Windows,Inteli7,AMDRadeon,16,2.8,0,1.8,2.048,0.256,173.41040462427745,NonIPSFullHD,69210.72
Dell,Ultrabook,Windows,Inteli5,IntelHD,8,1.7,0,1.6,0.0,0.256,214.28571428571428,NonIPSFullHD,46833.12
Lenovo,Notebook,Others,Inteli3,IntelHD,8,1.7,0,2.7,0.0,0.256,214.28571428571428,IPSFullHD,31914.72
Asus,Notebook,Windows,Inteli5,IntelHD,8,1.4,0,1.6,0.0,0.256,214.28571428571428,NonIPSFullHD,50136.48
HP,Notebook,Windows,Inteli5,IntelHD,8,1.86,0,2.5,0.0,0.256,192.30769230769232,NonIPSFullHD,36763.2
Asus,Ultrabook,Windows,Inteli7,NvidiaGeForce,16,1.8,0,2.8,0.0,0.512,192.30769230769232,NonIPSFullHD,105654.24
HP,Notebook,Windows,Inteli3,AMDRadeon,4,1.86,0,2.0,0.5,0.0,136.7948717948718,NonIPS,23373.4032
HP,Notebook,Windows,IntelCeleron,IntelHD,4,1.44,0,1.6,0.0,0.032,152.42857142857142,NonIPS,12201.12
Lenovo,Notebook,Windows,Inteli5,IntelHD,4,1.9,0,2.5,1.024,0.0,192.30769230769232,NonIPSFullHD,29250.72
Asus,Gaming,Linux,Inteli7,NvidiaGeForce,12,3.0,0,2.8,1.024,0.0,173.41040462427745,NonIPSFullHD,50562.72
others,Ultrabook,Windows,Inteli5,IntelHD,4,1.252,1,2.5,0.0,0.128,278.51851851851853,NonIPS,58021.92
Dell,Ultrabook,Windows,Inteli7,AMDRadeon,8,1.4,0,1.8,0.0,0.256,225.56390977443607,IPSFullHD,50882.4
Dell,Notebook,Windows,Inteli7,AMDRadeon,8,2.2,0,1.8,0.0,0.256,192.30769230769232,NonIPSFullHD,46353.6
MSI,Gaming,Windows,Inteli5,NvidiaGeForce,8,2.7,0,2.5,1.024,0.128,173.41040462427745,NonIPSFullHD,58341.6
Acer,Notebook,Windows,Inteli3,IntelHD,8,2.1,0,2.0,1.024,0.0,152.42857142857142,NonIPS,20725.92
Asus,Gaming,Windows,Inteli7,NvidiaGeForce,8,2.2,0,2.8,1.024,0.0,192.30769230769232,NonIPSFullHD,50562.72
Lenovo,Notebook,Others,Inteli5,IntelHD,8,2.2,0,2.5,2.048,0.0,192.30769230769232,NonIPSFullHD,27652.32
Dell,Notebook,Windows,Inteli7,IntelHD,8,2.02,0,1.8,1.024,0.128,192.30769230769232,NonIPSFullHD,45554.4
Acer,Notebook,Windows,Inteli3,NvidiaGeForce,4,2.2,0,2.7,1.024,0.0,192.30769230769232,NonIPSFullHD,28238.4
HP,Notebook,Windows,Inteli5,NvidiaGeForce,8,2.5,0,1.6,1.024,0.128,173.41040462427745,NonIPSFullHD,52054.56
Dell,Ultrabook,Windows,Inteli5,IntelHD,8,1.88,0,1.6,0.0,0.256,192.30769230769232,IPSFullHD,58403.4048
Apple,Ultrabook,Mac,Inteli5,IntelHD,8,0.92,0,1.3,0.0,0.512,312.0,IPSRetina,80452.8
